t,state,generation,root,parent
149,0,0,4,4
150,0,0,4,4
151,0,0,4,4
152,0,0,4,4
153,0,0,4,4
154,0,0,4,4
155,0,0,4,4
156,0,0,4,4
157,0,0,4,4
158,0,0,4,4
159,0,0,4,4
160,0,0,4,4
161,0,0,4,4
162,0,0,4,4
163,0,0,4,4
164,0,0,4,4
165,0,0,4,4
166,0,0,4,4
167,0,0,4,4
168,0,0,4,4
169,0,0,4,4
170,0,0,4,4
171,0,0,4,4
172,0,0,4,4
173,0,0,4,4
174,0,0,4,4
175,0,0,4,4
176,0,0,4,4
177,0,0,4,4
178,0,0,4,4
179,0,0,4,4
180,0,0,4,4
181,0,0,4,4
182,0,0,4,4
183,0,0,4,4
184,0,0,4,4
185,0,0,4,4
186,0,0,4,4
187,0,0,4,4
188,0,0,4,4
189,0,0,4,4
190,0,0,4,4
191,0,0,4,4
192,0,0,4,4
193,0,0,4,4
194,0,0,4,4
195,0,0,4,4
196,0,0,4,4
197,0,0,4,4
198,0,0,4,4
199,0,0,4,4
200,0,0,4,4
201,0,0,4,4
202,0,0,4,4
203,0,0,4,4
204,0,0,4,4
205,0,0,4,4
206,0,0,4,4
207,0,0,4,4
208,0,0,4,4
209,0,0,4,4
210,0,0,4,4
211,0,0,4,4
212,0,0,4,4
213,0,0,4,4
214,0,0,4,4
215,0,0,4,4
216,0,0,4,4
217,0,0,4,4
218,0,0,4,4
219,0,0,4,4
220,0,0,4,4
221,0,0,4,4
222,0,0,4,4
223,0,0,4,4
224,0,0,4,4
225,0,0,4,4
226,0,0,4,4
227,0,0,4,4
228,0,0,4,4
229,0,0,4,4
230,0,0,4,4
231,0,0,4,4
232,0,0,4,4
233,0,0,4,4
234,0,0,4,4
235,0,0,4,4
236,0,0,4,4
237,0,0,4,4
238,0,0,4,4
239,0,0,4,4
240,0,0,4,4
241,0,0,4,4
242,0,0,4,4
243,0,0,4,4
244,0,0,4,4
245,0,0,4,4
246,0,0,4,4
247,0,0,4,4
248,0,0,4,4
249,0,0,4,4
250,0,0,4,4
251,0,0,4,4
252,0,0,4,4
253,0,0,4,4
254,0,0,4,4
255,0,0,4,4
256,0,0,4,4
257,0,0,4,4
258,0,0,4,4
259,0,0,4,4
260,0,0,4,4
261,0,0,4,4
262,0,0,4,4
263,0,0,4,4
264,0,0,4,4
265,0,0,4,4
266,0,0,4,4
267,0,0,4,4
268,0,0,4,4
269,0,0,4,4
270,0,0,4,4
271,0,0,4,4
272,0,0,4,4
273,0,0,4,4
274,0,0,4,4
275,0,0,4,4
276,0,0,4,4
277,0,0,4,4
278,0,0,4,4
279,0,0,4,4
280,0,0,4,4
281,0,0,4,4
282,0,0,4,4
283,0,0,4,4
284,0,0,4,4
285,0,0,4,4
286,0,0,4,4
287,0,0,4,4
288,0,0,4,4
289,0,0,4,4
290,0,0,4,4
291,0,0,4,4
292,0,0,4,4
293,0,0,4,4
294,1,0,4,4
295,0,0,4,4
296,0,0,4,4
297,0,0,4,4
298,0,0,4,4
299,0,0,4,4
300,0,0,4,4
301,0,0,4,4
302,0,0,4,4
303,0,0,4,4
304,0,0,4,4
305,0,0,4,4
306,0,0,4,4
307,0,0,4,4
308,0,0,4,4
309,0,0,4,4
310,0,0,4,4
311,0,0,4,4
312,0,0,4,4
313,0,0,4,4
314,0,0,4,4
315,0,0,4,4
316,0,0,4,4
317,0,0,4,4
318,0,0,4,4
319,0,0,4,4
320,0,0,4,4
321,0,0,4,4
322,0,0,4,4
323,0,0,4,4
324,0,0,4,4
325,0,0,4,4
326,0,0,4,4
327,0,0,4,4
328,0,0,4,4
329,0,0,4,4
330,0,0,4,4
331,0,0,4,4
332,0,0,4,4
333,0,0,4,4
334,0,0,4,4
335,0,0,4,4
336,0,0,4,4
337,0,0,4,4
338,0,0,4,4
339,0,0,4,4
340,0,0,4,4
341,0,0,4,4
342,0,0,4,4
343,0,0,4,4
344,0,0,4,4
345,0,0,4,4
346,0,0,4,4
347,0,0,4,4
348,0,0,4,4
349,0,0,4,4
350,0,0,4,4
351,0,0,4,4
352,0,0,4,4
353,0,0,4,4
354,1,0,4,4
355,1,0,4,4
356,1,0,4,4
357,1,0,4,4
358,2,0,4,4
359,2,0,4,4
360,2,0,4,4
0,0,0,5,5
1,0,0,5,5
2,0,0,5,5
3,0,0,5,5
4,0,0,5,5
5,0,0,5,5
6,0,0,5,5
7,0,0,5,5
8,0,0,5,5
9,0,0,5,5
10,0,0,5,5
11,0,0,5,5
12,0,0,5,5
13,0,0,5,5
14,0,0,5,5
15,0,0,5,5
16,0,0,5,5
17,0,0,5,5
18,0,0,5,5
19,0,0,5,5
20,0,0,5,5
21,0,0,5,5
22,0,0,5,5
23,0,0,5,5
24,0,0,5,5
25,0,0,5,5
26,0,0,5,5
27,0,0,5,5
28,0,0,5,5
29,0,0,5,5
30,0,0,5,5
31,0,0,5,5
32,1,0,5,5
33,1,0,5,5
34,0,0,5,5
35,0,0,5,5
36,0,0,5,5
37,0,0,5,5
38,0,0,5,5
39,0,0,5,5
40,0,0,5,5
41,0,0,5,5
42,0,0,5,5
43,0,0,5,5
44,0,0,5,5
45,0,0,5,5
46,0,0,5,5
47,0,0,5,5
48,0,0,5,5
49,0,0,5,5
50,0,0,5,5
51,0,0,5,5
52,0,0,5,5
53,0,0,5,5
54,0,0,5,5
55,0,0,5,5
56,0,0,5,5
57,0,0,5,5
58,0,0,5,5
59,0,0,5,5
60,0,0,5,5
61,0,0,5,5
62,0,0,5,5
63,0,0,5,5
64,0,0,5,5
65,0,0,5,5
66,0,0,5,5
67,0,0,5,5
68,0,0,5,5
69,0,0,5,5
70,0,0,5,5
71,0,0,5,5
72,0,0,5,5
73,0,0,5,5
74,0,0,5,5
75,1,0,5,5
76,1,0,5,5
77,2,0,5,5
78,1,0,5,5
0,0,0,6,6
1,0,0,6,6
2,0,0,6,6
3,0,0,6,6
4,0,0,6,6
5,0,0,6,6
6,0,0,6,6
7,0,0,6,6
8,0,0,6,6
9,0,0,6,6
10,0,0,6,6
11,0,0,6,6
12,0,0,6,6
13,0,0,6,6
14,0,0,6,6
15,0,0,6,6
16,0,0,6,6
17,0,0,6,6
18,0,0,6,6
19,0,0,6,6
20,0,0,6,6
21,0,0,6,6
22,0,0,6,6
23,0,0,6,6
24,0,0,6,6
25,0,0,6,6
26,0,0,6,6
27,0,0,6,6
28,0,0,6,6
29,0,0,6,6
30,0,0,6,6
31,0,0,6,6
32,0,0,6,6
33,0,0,6,6
34,0,0,6,6
35,0,0,6,6
36,0,0,6,6
37,0,0,6,6
38,0,0,6,6
39,0,0,6,6
40,0,0,6,6
41,0,0,6,6
42,0,0,6,6
43,0,0,6,6
44,0,0,6,6
45,0,0,6,6
46,0,0,6,6
47,0,0,6,6
48,0,0,6,6
49,0,0,6,6
50,0,0,6,6
51,0,0,6,6
52,0,0,6,6
53,0,0,6,6
54,0,0,6,6
55,0,0,6,6
56,0,0,6,6
57,0,0,6,6
58,0,0,6,6
59,0,0,6,6
60,0,0,6,6
61,1,0,6,6
62,0,0,6,6
63,0,0,6,6
64,0,0,6,6
65,0,0,6,6
66,0,0,6,6
67,0,0,6,6
68,0,0,6,6
69,0,0,6,6
70,0,0,6,6
71,0,0,6,6
72,0,0,6,6
73,0,0,6,6
74,0,0,6,6
75,0,0,6,6
76,0,0,6,6
77,0,0,6,6
78,0,0,6,6
79,0,0,6,6
80,0,0,6,6
81,0,0,6,6
82,0,0,6,6
83,0,0,6,6
84,0,0,6,6
85,0,0,6,6
86,0,0,6,6
87,0,0,6,6
88,0,0,6,6
89,0,0,6,6
90,0,0,6,6
91,0,0,6,6
92,0,0,6,6
93,0,0,6,6
94,0,0,6,6
95,0,0,6,6
96,0,0,6,6
97,0,0,6,6
98,0,0,6,6
99,0,0,6,6
100,0,0,6,6
101,0,0,6,6
102,0,0,6,6
103,0,0,6,6
104,0,0,6,6
105,0,0,6,6
106,0,0,6,6
107,0,0,6,6
108,0,0,6,6
109,0,0,6,6
110,0,0,6,6
111,0,0,6,6
112,0,0,6,6
113,0,0,6,6
114,0,0,6,6
115,0,0,6,6
116,0,0,6,6
117,0,0,6,6
118,0,0,6,6
119,0,0,6,6
120,0,0,6,6
121,0,0,6,6
122,0,0,6,6
123,0,0,6,6
124,0,0,6,6
125,0,0,6,6
126,0,0,6,6
127,0,0,6,6
128,0,0,6,6
129,0,0,6,6
130,0,0,6,6
131,0,0,6,6
132,0,0,6,6
133,0,0,6,6
134,0,0,6,6
135,0,0,6,6
136,0,0,6,6
137,0,0,6,6
138,0,0,6,6
139,0,0,6,6
140,0,0,6,6
141,0,0,6,6
142,0,0,6,6
143,0,0,6,6
144,0,0,6,6
145,0,0,6,6
146,0,0,6,6
147,0,0,6,6
148,0,0,6,6
149,0,0,6,6
150,0,0,6,6
151,0,0,6,6
152,0,0,6,6
153,0,0,6,6
154,0,0,6,6
155,0,0,6,6
156,0,0,6,6
157,0,0,6,6
158,0,0,6,6
159,0,0,6,6
160,0,0,6,6
161,0,0,6,6
162,0,0,6,6
163,0,0,6,6
164,0,0,6,6
165,0,0,6,6
166,0,0,6,6
167,0,0,6,6
168,0,0,6,6
169,0,0,6,6
170,0,0,6,6
171,0,0,6,6
172,0,0,6,6
173,0,0,6,6
174,0,0,6,6
175,0,0,6,6
176,0,0,6,6
177,0,0,6,6
178,0,0,6,6
179,0,0,6,6
180,0,0,6,6
181,0,0,6,6
182,0,0,6,6
183,0,0,6,6
184,0,0,6,6
185,0,0,6,6
186,0,0,6,6
187,0,0,6,6
188,0,0,6,6
189,0,0,6,6
190,0,0,6,6
191,0,0,6,6
192,0,0,6,6
193,0,0,6,6
194,0,0,6,6
195,0,0,6,6
196,0,0,6,6
197,0,0,6,6
198,0,0,6,6
199,0,0,6,6
200,0,0,6,6
201,0,0,6,6
202,0,0,6,6
203,0,0,6,6
204,0,0,6,6
205,0,0,6,6
206,0,0,6,6
207,0,0,6,6
208,0,0,6,6
209,0,0,6,6
210,0,0,6,6
211,0,0,6,6
212,0,0,6,6
213,0,0,6,6
214,0,0,6,6
215,0,0,6,6
216,0,0,6,6
217,0,0,6,6
218,0,0,6,6
219,0,0,6,6
220,0,0,6,6
221,0,0,6,6
222,0,0,6,6
223,0,0,6,6
224,0,0,6,6
225,0,0,6,6
226,0,0,6,6
227,0,0,6,6
228,0,0,6,6
229,0,0,6,6
230,0,0,6,6
231,0,0,6,6
232,0,0,6,6
233,0,0,6,6
234,0,0,6,6
235,0,0,6,6
236,0,0,6,6
237,0,0,6,6
238,0,0,6,6
239,0,0,6,6
240,0,0,6,6
241,0,0,6,6
242,0,0,6,6
243,0,0,6,6
244,0,0,6,6
245,0,0,6,6
246,0,0,6,6
247,0,0,6,6
248,0,0,6,6
249,0,0,6,6
250,0,0,6,6
251,0,0,6,6
252,0,0,6,6
253,0,0,6,6
254,0,0,6,6
255,0,0,6,6
256,0,0,6,6
257,0,0,6,6
258,0,0,6,6
259,0,0,6,6
260,0,0,6,6
261,0,0,6,6
262,0,0,6,6
263,0,0,6,6
264,0,0,6,6
265,0,0,6,6
266,0,0,6,6
267,0,0,6,6
268,0,0,6,6
269,0,0,6,6
270,0,0,6,6
271,0,0,6,6
272,0,0,6,6
273,0,0,6,6
274,0,0,6,6
275,0,0,6,6
276,0,0,6,6
277,0,0,6,6
278,0,0,6,6
279,0,0,6,6
280,0,0,6,6
281,0,0,6,6
282,0,0,6,6
283,0,0,6,6
284,0,0,6,6
285,0,0,6,6
286,0,0,6,6
287,0,0,6,6
288,0,0,6,6
289,0,0,6,6
290,0,0,6,6
291,0,0,6,6
292,0,0,6,6
293,0,0,6,6
294,1,0,6,6
295,0,0,6,6
296,0,0,6,6
297,0,0,6,6
298,0,0,6,6
299,0,0,6,6
300,0,0,6,6
301,0,0,6,6
302,0,0,6,6
303,0,0,6,6
304,0,0,6,6
305,0,0,6,6
306,0,0,6,6
307,0,0,6,6
308,0,0,6,6
309,0,0,6,6
310,0,0,6,6
311,0,0,6,6
312,0,0,6,6
313,0,0,6,6
314,0,0,6,6
315,0,0,6,6
316,0,0,6,6
317,0,0,6,6
318,0,0,6,6
319,0,0,6,6
320,0,0,6,6
321,0,0,6,6
322,0,0,6,6
323,0,0,6,6
324,0,0,6,6
325,0,0,6,6
326,0,0,6,6
327,0,0,6,6
328,0,0,6,6
329,0,0,6,6
330,0,0,6,6
331,0,0,6,6
332,0,0,6,6
333,0,0,6,6
334,0,0,6,6
335,0,0,6,6
336,0,0,6,6
337,0,0,6,6
338,0,0,6,6
339,0,0,6,6
340,1,0,6,6
341,2,0,6,6
342,1,0,6,6
343,1,0,6,6
344,1,0,6,6
345,1,0,6,6
346,2,0,6,6
347,2,0,6,6
348,2,0,6,6
349,2,0,6,6
0,0,0,7,7
1,0,0,7,7
2,0,0,7,7
3,0,0,7,7
4,0,0,7,7
5,0,0,7,7
6,0,0,7,7
7,0,0,7,7
8,0,0,7,7
9,0,0,7,7
10,0,0,7,7
11,0,0,7,7
12,0,0,7,7
13,0,0,7,7
14,0,0,7,7
15,0,0,7,7
16,0,0,7,7
17,0,0,7,7
18,0,0,7,7
19,0,0,7,7
20,0,0,7,7
21,3,0,7,7
22,3,0,7,7
23,3,0,7,7
24,3,0,7,7
25,3,0,7,7
26,3,0,7,7
27,3,0,7,7
28,3,0,7,7
29,3,0,7,7
30,3,0,7,7
31,3,0,7,7
0,0,0,8,8
1,0,0,8,8
2,0,0,8,8
3,0,0,8,8
4,0,0,8,8
5,0,0,8,8
6,0,0,8,8
7,0,0,8,8
8,0,0,8,8
9,0,0,8,8
10,0,0,8,8
11,0,0,8,8
12,0,0,8,8
13,0,0,8,8
14,0,0,8,8
15,0,0,8,8
16,0,0,8,8
17,0,0,8,8
18,0,0,8,8
19,0,0,8,8
20,0,0,8,8
21,0,0,8,8
22,0,0,8,8
23,0,0,8,8
24,0,0,8,8
25,0,0,8,8
26,0,0,8,8
27,0,0,8,8
28,0,0,8,8
29,0,0,8,8
30,0,0,8,8
31,0,0,8,8
32,0,0,8,8
33,0,0,8,8
34,0,0,8,8
35,0,0,8,8
36,0,0,8,8
37,0,0,8,8
38,0,0,8,8
39,0,0,8,8
40,0,0,8,8
41,0,0,8,8
42,0,0,8,8
43,0,0,8,8
44,0,0,8,8
45,0,0,8,8
46,0,0,8,8
47,0,0,8,8
48,0,0,8,8
49,0,0,8,8
50,0,0,8,8
51,0,0,8,8
52,0,0,8,8
53,0,0,8,8
54,0,0,8,8
55,0,0,8,8
56,0,0,8,8
57,0,0,8,8
58,0,0,8,8
59,0,0,8,8
60,0,0,8,8
61,0,0,8,8
62,0,0,8,8
63,0,0,8,8
64,0,0,8,8
65,0,0,8,8
66,0,0,8,8
67,0,0,8,8
68,0,0,8,8
69,0,0,8,8
70,0,0,8,8
71,0,0,8,8
72,0,0,8,8
73,0,0,8,8
74,0,0,8,8
75,0,0,8,8
76,0,0,8,8
77,0,0,8,8
78,0,0,8,8
79,0,0,8,8
80,0,0,8,8
81,0,0,8,8
82,0,0,8,8
83,0,0,8,8
84,0,0,8,8
85,0,0,8,8
86,0,0,8,8
87,0,0,8,8
88,0,0,8,8
89,0,0,8,8
90,0,0,8,8
91,0,0,8,8
92,0,0,8,8
93,0,0,8,8
94,0,0,8,8
95,0,0,8,8
96,0,0,8,8
97,0,0,8,8
98,0,0,8,8
99,0,0,8,8
100,0,0,8,8
101,0,0,8,8
102,0,0,8,8
103,0,0,8,8
104,0,0,8,8
105,0,0,8,8
106,0,0,8,8
107,0,0,8,8
108,0,0,8,8
109,0,0,8,8
110,0,0,8,8
111,0,0,8,8
112,0,0,8,8
113,0,0,8,8
114,0,0,8,8
115,0,0,8,8
116,0,0,8,8
117,0,0,8,8
118,0,0,8,8
119,0,0,8,8
120,0,0,8,8
121,0,0,8,8
122,0,0,8,8
123,0,0,8,8
124,0,0,8,8
125,0,0,8,8
126,0,0,8,8
127,0,0,8,8
128,0,0,8,8
129,0,0,8,8
130,0,0,8,8
131,0,0,8,8
132,0,0,8,8
133,0,0,8,8
134,0,0,8,8
135,0,0,8,8
136,0,0,8,8
137,0,0,8,8
138,0,0,8,8
139,0,0,8,8
140,0,0,8,8
141,0,0,8,8
142,0,0,8,8
143,0,0,8,8
144,0,0,8,8
145,0,0,8,8
146,0,0,8,8
147,0,0,8,8
148,0,0,8,8
149,0,0,8,8
150,0,0,8,8
151,0,0,8,8
152,0,0,8,8
153,0,0,8,8
154,0,0,8,8
155,0,0,8,8
156,0,0,8,8
157,0,0,8,8
158,0,0,8,8
159,0,0,8,8
160,0,0,8,8
161,0,0,8,8
162,0,0,8,8
163,0,0,8,8
164,0,0,8,8
165,0,0,8,8
166,0,0,8,8
167,0,0,8,8
168,0,0,8,8
169,0,0,8,8
170,0,0,8,8
171,0,0,8,8
172,0,0,8,8
173,0,0,8,8
174,0,0,8,8
175,0,0,8,8
176,0,0,8,8
177,0,0,8,8
178,0,0,8,8
179,0,0,8,8
180,0,0,8,8
181,0,0,8,8
182,0,0,8,8
183,0,0,8,8
184,0,0,8,8
185,0,0,8,8
186,0,0,8,8
187,0,0,8,8
188,0,0,8,8
189,0,0,8,8
190,0,0,8,8
191,0,0,8,8
192,0,0,8,8
193,0,0,8,8
194,0,0,8,8
195,0,0,8,8
196,0,0,8,8
197,0,0,8,8
198,0,0,8,8
199,0,0,8,8
200,0,0,8,8
201,0,0,8,8
202,0,0,8,8
203,0,0,8,8
204,0,0,8,8
205,0,0,8,8
206,0,0,8,8
207,0,0,8,8
208,0,0,8,8
209,0,0,8,8
210,0,0,8,8
211,1,0,8,8
212,1,0,8,8
213,1,0,8,8
214,2,0,8,8
215,1,0,8,8
0,0,0,9,9
1,0,0,9,9
2,0,0,9,9
3,0,0,9,9
4,0,0,9,9
5,0,0,9,9
6,0,0,9,9
7,0,0,9,9
8,0,0,9,9
9,0,0,9,9
10,0,0,9,9
11,0,0,9,9
12,0,0,9,9
13,0,0,9,9
14,0,0,9,9
15,0,0,9,9
16,0,0,9,9
17,0,0,9,9
18,0,0,9,9
19,0,0,9,9
20,0,0,9,9
21,0,0,9,9
22,0,0,9,9
23,0,0,9,9
24,0,0,9,9
25,0,0,9,9
26,0,0,9,9
27,0,0,9,9
28,0,0,9,9
29,0,0,9,9
30,0,0,9,9
31,0,0,9,9
32,0,0,9,9
33,0,0,9,9
34,0,0,9,9
35,0,0,9,9
36,0,0,9,9
37,0,0,9,9
38,0,0,9,9
39,0,0,9,9
40,0,0,9,9
41,0,0,9,9
42,0,0,9,9
43,0,0,9,9
44,0,0,9,9
45,0,0,9,9
46,0,0,9,9
47,0,0,9,9
48,0,0,9,9
49,0,0,9,9
50,0,0,9,9
51,0,0,9,9
52,0,0,9,9
53,0,0,9,9
54,0,0,9,9
55,0,0,9,9
56,0,0,9,9
57,0,0,9,9
58,0,0,9,9
59,0,0,9,9
60,0,0,9,9
61,1,0,9,9
62,0,0,9,9
63,0,0,9,9
64,0,0,9,9
65,0,0,9,9
66,0,0,9,9
67,0,0,9,9
68,0,0,9,9
69,0,0,9,9
70,0,0,9,9
71,0,0,9,9
72,0,0,9,9
73,0,0,9,9
74,0,0,9,9
75,0,0,9,9
76,0,0,9,9
77,0,0,9,9
78,0,0,9,9
79,0,0,9,9
80,0,0,9,9
81,0,0,9,9
82,0,0,9,9
83,0,0,9,9
84,0,0,9,9
85,0,0,9,9
86,0,0,9,9
87,0,0,9,9
88,0,0,9,9
89,0,0,9,9
90,0,0,9,9
91,0,0,9,9
92,0,0,9,9
93,0,0,9,9
94,0,0,9,9
95,0,0,9,9
96,0,0,9,9
97,0,0,9,9
98,0,0,9,9
99,0,0,9,9
100,0,0,9,9
101,0,0,9,9
102,0,0,9,9
103,0,0,9,9
104,0,0,9,9
105,0,0,9,9
106,0,0,9,9
107,0,0,9,9
108,0,0,9,9
109,0,0,9,9
110,0,0,9,9
111,0,0,9,9
112,0,0,9,9
113,0,0,9,9
114,0,0,9,9
115,0,0,9,9
116,0,0,9,9
117,0,0,9,9
118,0,0,9,9
119,0,0,9,9
120,0,0,9,9
121,0,0,9,9
122,0,0,9,9
123,0,0,9,9
124,0,0,9,9
125,0,0,9,9
126,0,0,9,9
127,0,0,9,9
128,0,0,9,9
129,0,0,9,9
130,0,0,9,9
131,0,0,9,9
132,0,0,9,9
133,0,0,9,9
134,0,0,9,9
135,0,0,9,9
136,0,0,9,9
137,0,0,9,9
138,0,0,9,9
139,0,0,9,9
140,0,0,9,9
141,0,0,9,9
142,0,0,9,9
143,0,0,9,9
144,0,0,9,9
145,0,0,9,9
146,0,0,9,9
147,0,0,9,9
148,0,0,9,9
149,0,0,9,9
150,0,0,9,9
151,0,0,9,9
152,0,0,9,9
153,0,0,9,9
154,0,0,9,9
155,0,0,9,9
156,0,0,9,9
157,0,0,9,9
158,0,0,9,9
159,0,0,9,9
160,0,0,9,9
161,0,0,9,9
162,0,0,9,9
163,0,0,9,9
164,0,0,9,9
165,0,0,9,9
166,0,0,9,9
167,0,0,9,9
168,0,0,9,9
169,0,0,9,9
170,0,0,9,9
171,0,0,9,9
172,0,0,9,9
173,0,0,9,9
174,0,0,9,9
175,0,0,9,9
176,0,0,9,9
177,0,0,9,9
178,0,0,9,9
179,0,0,9,9
180,0,0,9,9
181,0,0,9,9
182,0,0,9,9
183,0,0,9,9
184,0,0,9,9
185,0,0,9,9
186,0,0,9,9
187,0,0,9,9
188,0,0,9,9
189,0,0,9,9
190,0,0,9,9
191,0,0,9,9
192,0,0,9,9
193,0,0,9,9
194,0,0,9,9
195,0,0,9,9
196,0,0,9,9
197,0,0,9,9
198,0,0,9,9
199,0,0,9,9
200,0,0,9,9
201,0,0,9,9
202,0,0,9,9
203,0,0,9,9
204,0,0,9,9
205,0,0,9,9
206,0,0,9,9
207,0,0,9,9
208,0,0,9,9
209,0,0,9,9
210,0,0,9,9
211,0,0,9,9
212,0,0,9,9
213,0,0,9,9
214,0,0,9,9
215,0,0,9,9
216,0,0,9,9
217,0,0,9,9
218,0,0,9,9
219,0,0,9,9
220,0,0,9,9
221,0,0,9,9
222,0,0,9,9
223,0,0,9,9
224,0,0,9,9
225,0,0,9,9
226,0,0,9,9
227,0,0,9,9
228,0,0,9,9
229,0,0,9,9
230,0,0,9,9
231,0,0,9,9
232,0,0,9,9
233,0,0,9,9
234,0,0,9,9
235,0,0,9,9
236,0,0,9,9
237,0,0,9,9
238,0,0,9,9
239,0,0,9,9
240,0,0,9,9
241,0,0,9,9
242,0,0,9,9
243,1,0,9,9
244,1,0,9,9
245,2,0,9,9
246,2,0,9,9
247,2,0,9,9
0,0,0,10,10
1,0,0,10,10
2,0,0,10,10
3,0,0,10,10
4,0,0,10,10
5,0,0,10,10
6,0,0,10,10
7,0,0,10,10
8,0,0,10,10
9,0,0,10,10
10,0,0,10,10
11,0,0,10,10
12,0,0,10,10
13,0,0,10,10
14,0,0,10,10
15,0,0,10,10
16,0,0,10,10
17,0,0,10,10
18,0,0,10,10
19,0,0,10,10
20,0,0,10,10
21,0,0,10,10
22,0,0,10,10
23,0,0,10,10
24,0,0,10,10
25,0,0,10,10
26,0,0,10,10
27,0,0,10,10
28,0,0,10,10
29,0,0,10,10
30,0,0,10,10
31,0,0,10,10
32,0,0,10,10
33,0,0,10,10
34,0,0,10,10
35,0,0,10,10
36,0,0,10,10
37,0,0,10,10
38,0,0,10,10
39,0,0,10,10
40,0,0,10,10
41,0,0,10,10
42,0,0,10,10
43,0,0,10,10
44,0,0,10,10
45,0,0,10,10
46,0,0,10,10
47,0,0,10,10
48,0,0,10,10
49,0,0,10,10
50,0,0,10,10
51,0,0,10,10
52,0,0,10,10
53,0,0,10,10
54,0,0,10,10
55,0,0,10,10
56,0,0,10,10
57,0,0,10,10
58,0,0,10,10
59,0,0,10,10
60,0,0,10,10
61,1,0,10,10
62,0,0,10,10
63,0,0,10,10
64,0,0,10,10
65,0,0,10,10
66,0,0,10,10
67,0,0,10,10
68,0,0,10,10
69,0,0,10,10
70,0,0,10,10
71,0,0,10,10
72,0,0,10,10
73,0,0,10,10
74,0,0,10,10
75,0,0,10,10
76,0,0,10,10
77,0,0,10,10
78,0,0,10,10
79,0,0,10,10
80,0,0,10,10
81,0,0,10,10
82,0,0,10,10
83,0,0,10,10
84,0,0,10,10
85,0,0,10,10
86,0,0,10,10
87,0,0,10,10
88,0,0,10,10
89,0,0,10,10
90,0,0,10,10
91,0,0,10,10
